movie_id,title,strategy,chunk_id,chunk_text,popularity,vote_average,vote_count
19995,Avatar,movie_level,0,"Title: Avatar
Director: James Cameron
Cast: Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Michelle Rodriguez
Genres: Action, Adventure, Fantasy, Science Fiction
Keywords: culture clash, future, space war, space colony, society, space travel, futuristic, romance, space, alien, tribe, alien planet, cgi, marine, soldier, battle, love affair, anti war, power relations, mind and soul, 3d
Tagline: Enter the World of Pandora.
Overview: In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,7.2,11800
285,Pirates of the Caribbean: At World's End,movie_level,0,"Title: Pirates of the Caribbean: At World's End
Director: Gore Verbinski
Cast: Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård, Chow Yun-fat
Genres: Adventure, Fantasy, Action
Keywords: ocean, drug abuse, exotic island, east india trading company, love of one's life, traitor, shipwreck, strong woman, ship, alliance, calypso, afterlife, fighter, pirate, swashbuckler, aftercreditsstinger
Tagline: At the end of the world, the adventure begins.
Overview: Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,6.9,4500
206647,Spectre,movie_level,0,"Title: Spectre
Director: Sam Mendes
Cast: Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes, Monica Bellucci
Genres: Action, Adventure, Crime
Keywords: spy, based on novel, secret agent, sequel, mi6, british secret service, united kingdom
Tagline: A Plan No One Escapes
Overview: A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",107.376788,6.3,4466
49026,The Dark Knight Rises,movie_level,0,"Title: The Dark Knight Rises
Director: Christopher Nolan
Cast: Christian Bale, Michael Caine, Gary Oldman, Anne Hathaway, Tom Hardy
Genres: Action, Crime, Drama, Thriller
Keywords: dc comics, crime fighter, terrorist, secret identity, burglar, hostage drama, time bomb, gotham city, vigilante, cover-up, superhero, villainess, tragic hero, terrorism, destruction, catwoman, cat burglar, imax, flood, criminal underworld, batman
Tagline: The Legend Ends
Overview: Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",112.31295,7.6,9106
49529,John Carter,movie_level,0,"Title: John Carter
Director: Andrew Stanton
Cast: Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe, Thomas Haden Church
Genres: Action, Adventure, Science Fiction
Keywords: based on novel, mars, medallion, space travel, princess, alien, steampunk, martian, escape, edgar rice burroughs, alien race, superhuman strength, mars civilization, sword and planet, 19th century, 3d
Tagline: Lost in our world, found in another.
Overview: John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,6.1,2124
559,Spider-Man 3,movie_level,0,"Title: Spider-Man 3
Director: Sam Raimi
Cast: Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace
Genres: Fantasy, Action, Adventure
Keywords: dual identity, amnesia, sandstorm, love of one's life, forgiveness, spider, wretch, death of a friend, egomania, sand, narcism, hostility, marvel comic, sequel, superhero, revenge
Tagline: The battle within.
Overview: The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.699814,5.9,3576
38757,Tangled,movie_level,0,"Title: Tangled
Director: Byron Howard, Nathan Greno
Cast: Zachary Levi, Mandy Moore, Donna Murphy, Ron Perlman, M.C. Gainey
Genres: Animation, Family
Keywords: hostage, magic, horse, fairy tale, musical, princess, animation, tower, blonde woman, selfishness, healing power, based on fairy tale, duringcreditsstinger, healing gift, animal sidekick
Tagline: They're taking adventure to new lengths.
Overview: When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,7.4,3330
99861,Avengers: Age of Ultron,movie_level,0,"Title: Avengers: Age of Ultron
Director: Joss Whedon
Cast: Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson
Genres: Action, Adventure, Science Fiction
Keywords: marvel comic, sequel, superhero, based on comic book, vision, superhero team, duringcreditsstinger, marvel cinematic universe, 3d
Tagline: A New Age Has Come.
Overview: When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",134.279229,7.3,6767
767,Harry Potter and the Half-Blood Prince,movie_level,0,"Title: Harry Potter and the Half-Blood Prince
Director: David Yates
Cast: Daniel Radcliffe, Rupert Grint, Emma Watson, Tom Felton, Michael Gambon
Genres: Adventure, Fantasy, Family
Keywords: witch, magic, broom, school of witchcraft, wizardry, apparition, teenage crush, werewolf
Tagline: Dark Secrets Revealed
Overview: As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,7.4,5293
209112,Batman v Superman: Dawn of Justice,movie_level,0,"Title: Batman v Superman: Dawn of Justice
Director: Zack Snyder
Cast: Ben Affleck, Henry Cavill, Gal Gadot, Amy Adams, Jesse Eisenberg
Genres: Action, Adventure, Fantasy
Keywords: dc comics, vigilante, superhero, based on comic book, revenge, super powers, clark kent, bruce wayne, dc extended universe
Tagline: Justice or revenge
Overview: Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",155.790452,5.7,7004
